time,inserted_at,value,
1479026230.0,1479026228.0,31.4375
1479026242.0,1479026241.0,31.5
1479026250.0,1479026249.0,31.53125
1479026257.0,1479026257.0,31.53125
1479026271.0,1479026269.0,31.5625
1479026279.0,1479026277.0,31.5625
1479026286.0,1479026285.0,31.46875
1479026294.0,1479026292.0,31.375
1479026301.0,1479026300.0,31.375
1479026309.0,1479026308.0,31.46875
1479026316.0,1479026315.0,31.46875
1479026324.0,1479026323.0,31.53125
1479026331.0,1479026330.0,31.53125
1479026339.0,1479026338.0,31.53125
